Time:5/29/2020 10:41:00 AM	Open:301.6000	Close:301.5300	Volume:71464
Time:5/29/2020 10:40:00 AM	Open:301.6050	Close:301.6100	Volume:90711
Time:5/29/2020 10:39:00 AM	Open:301.8100	Close:301.6084	Volume:88501
Time:5/29/2020 10:38:00 AM	Open:301.5500	Close:301.8000	Volume:90298
Time:5/29/2020 10:37:00 AM	Open:301.5456	Close:301.5301	Volume:119821
Time:5/29/2020 10:36:00 AM	Open:301.8300	Close:301.5500	Volume:128331
Time:5/29/2020 10:35:00 AM	Open:301.7950	Close:301.8400	Volume:70705
Time:5/29/2020 10:34:00 AM	Open:301.8600	Close:301.7900	Volume:488750
Time:5/29/2020 10:33:00 AM	Open:301.9701	Close:301.8900	Volume:83334
Time:5/29/2020 10:32:00 AM	Open:301.9800	Close:301.9921	Volume:147311
Time:5/29/2020 10:31:00 AM	Open:301.5700	Close:301.9700	Volume:249280
Time:5/29/2020 10:30:00 AM	Open:301.1800	Close:301.5600	Volume:204721
Time:5/29/2020 10:29:00 AM	Open:301.7950	Close:301.1800	Volume:234632
Time:5/29/2020 10:28:00 AM	Open:301.8200	Close:301.8300	Volume:67270
